dataset,lhs_label,rhs_label,metric_label,n_runs,sum_shared_eligible_queries,sum_both_positive_count,sum_lhs_only_count,sum_rhs_only_count,sum_both_negative_count,avg_both_positive_mean_qa_f1,avg_lhs_only_mean_qa_f1,avg_rhs_only_mean_qa_f1,avg_both_negative_mean_qa_f1,avg_rhs_minus_lhs_mean_qa_f1,avg_lhs_only_qa_positive_rate,avg_rhs_only_qa_positive_rate,avg_rhs_minus_lhs_qa_positive_rate,avg_lhs_only_qa_strong_rate,avg_rhs_only_qa_strong_rate,avg_rhs_minus_lhs_qa_strong_rate
LoCoMo,Raw,Canonical,Hit@K,8,6450,4011,507,1142,790,0.1629366040380758,0.12272663454543799,0.045739954921834074,0.06798627699169252,-0.0769866796236039,0.34968665919707587,0.25424946054459685,-0.09543719865247902,0.0626997652414319,0.01264381402795615,-0.05005595121347576
LoCoMo,Raw,Canonical,Top1,8,6450,0,146,1443,4861,,0.20966277395375824,0.17074209288928177,0.11146546222479164,-0.035332719520097235,0.3884049663165004,0.5039428195251672,0.11530130162691994,0.22623135853818943,0.11876378542268685,-0.10249710786792902
LoCoMo,Raw,Source,Hit@K,8,12241,8710,0,1142,2389,0.15870816921748937,,0.045739954921834074,0.06509990139587893,,,0.25424946054459685,,,0.01264381402795615,
LoCoMo,Raw,Source,Top1,8,12241,158,0,1443,10640,0.1810454138818406,,0.17074209288928177,0.12226535275061703,,,0.5039428195251672,,,0.11876378542268685,
LoCoMo,Source,Canonical,Hit@K,8,6450,5153,507,0,790,0.13715054845321872,0.12272663454543799,,0.06798627699169252,,0.34968665919707587,,,0.0626997652414319,,
LoCoMo,Source,Canonical,Top1,8,6450,1443,146,0,4861,0.17074209288928177,0.20966277395375824,,0.11146546222479164,,0.3884049663165004,,,0.22623135853818943,,
LongMemEval-S,Raw,Canonical,Hit@K,4,1295,835,32,312,116,0.06441850064800608,0.02992307529072235,0.0650029072427382,0.023972431447099544,0.035079831952015854,0.27708333333333335,0.4481690889755406,0.17108575564220724,0.0,0.0038461538461538464,0.0038461538461538464
LongMemEval-S,Raw,Canonical,Top1,4,1295,0,0,506,789,,,0.06588199206532644,0.05594003526779211,,,0.30765972930370794,,,0.017992491647930278,
LongMemEval-S,Raw,Source,Hit@K,4,1849,1031,0,312,506,0.0631535978255291,,0.0650029072427382,0.03297318990235383,,,0.4481690889755406,,,0.0038461538461538464,
LongMemEval-S,Raw,Source,Top1,4,1849,0,0,506,1343,,,0.06588199206532644,0.05048178223335717,,,0.30765972930370794,,,0.017992491647930278,
LongMemEval-S,Source,Canonical,Hit@K,4,1295,1147,32,0,116,0.06370825474159161,0.02992307529072235,,0.023972431447099544,,0.27708333333333335,,,0.0,,
LongMemEval-S,Source,Canonical,Top1,4,1295,506,0,0,789,0.06588199206532644,,,0.05594003526779211,,,,,,,
